,shop_name,d1,d2
0,구미상모,경북,구미시
0,롯데마인천삼산B1,인천,부평구
0,용인상현,경기,용인시
0,원통,강원,인제군
0,평촌주공공이,경기,안양시
0,롯데마트대덕테크노밸리,대전,유성구
0,인천가좌,인천,서구
0,동대문역사문화공원역,서울,중구
0,전주터미널,전북,전주시
0,청주산남,충북,청주시
0,신당역,서울,중구
0,홈플러스전주,전북,전주시
0,신림역,2호선,신림역
0,원광대,전북,익산시
0,천안직산,충남,천안시
0,홈플러스해운대,부산,해운대구
0,청량리,청량리역3번출구,(민자역사
0,울산구영,울산,울주군
0,화성기안,경기,화성시
0,대전가오,대전,동구
0,부천역,경기,부천시
0,부천역EXP,경기,부천시
0,광명,경기,광명시
0,부산사상,부산,사상구
0,노량진,서울,동작구
0,용인구성,경기,용인시
0,인천만수,인천,남동구
0,대전전민,대전,유성구
0,홈플러스울산북구,울산,북구
0,호평,경기,남양주시
0,의정부제일,경기,의정부시
0,고창,전북,고창군
0,홈플러스천안신방,충남,천안시
0,건대스타시티,서울,광진구
0,롯데마트군산,전북,군산시
0,파주교하,경기,파주시
0,인천석남,인천,서구
0,광주문흥,광주,북구
0,홈플러스방학,서울,도봉구
0,조치원,세종,조치원읍
0,롯데마트장유,경남,김해시
0,아산배방,충청남도,아산시
0,신촌로터리,서울,마포구
0,광주신창,광주,광산구
0,전주고사,전북,전주시
0,오산원동,경기,오산시
0,홈플러스신내,서울,중랑구
0,의정부회룡역,회룡역,1번출구
0,오창,충북,청원군
0,대전반석,대전,유성구
0,가평,경기,가평군
0,대산,충남,서산시
0,진건,진건초등학교,맞은편
0,부산역,부산,동구
0,마산터미널,경남,창원시
0,수원팔달,경기도,수원시
0,곤지암,경기,광주시
0,홈플러스내당,대구,서구
