,기업명,기업코드,현재가,매도호가,전일대비,매수호가,등락률,전일가,거래량,시가,거래대금,고가,액면가,저가,상한가,전일상한,하한가,전일하한,PER,EPS,52주 최고,52주 최저,시가총액,상장주식수,외국인현재,자본금
274,화성밸브,39610,7910,7920,100,7910,+1.28,7810,81713,7840,643,7990,500,7780,10150,10100,5470,5460,41.85,189,10550,4800,823,10410400,398,5205
275,휴맥스,115160,5180,5190,70,5180,+1.37,5110,1500914,5110,7763,5270,500,5050,6640,6590,3580,3550,-1.68,-3086,7200,4010,2179,42063517,2317,21031
276,희림,37440,7270,7280,80,7270,+1.11,7190,590808,7320,4380,7600,500,7200,9340,9760,5040,5260,19.03,382,11500,3550,1012,13922475,290,6961
277,관악산업,76340,6870,7200,340,6870,+5.21,6530,13021,7500,92,7500,500,6700,7500,8030,5560,5950,N/A,N/A,8290,4810,335,4871460,0,2435
278,나눔테크,244880,2210,2395,150,2210,-6.36,2360,55,2450,0,2450,500,2210,2710,2840,2010,2100,N/A,N/A,3500,1825,111,5020000,0,2510
279,다원넥스뷰,323350,70000,70000,0,69000,0.00,70000,2,70000,0,70000,500,70000,80500,78200,59500,57800,N/A,N/A,76600,15650,511,730000,0,365
280,다이노나,86080,3820,3810,40,3750,-1.04,3860,5803,3895,22,3895,500,3720,4435,4430,3285,3280,N/A,N/A,7790,3415,1258,32931086,0,16465
281,다이오진,271850,3185,3175,40,3025,-1.24,3225,1368,3475,4,3475,100,2800,3705,4010,2745,2970,N/A,N/A,4715,1695,99,3123000,0,312
282,선바이오,67370,33750,33650,2750,33600,+8.87,31000,39716,31500,1243,33950,500,29900,35650,35500,26350,26300,N/A,N/A,38900,12200,3943,11682816,11,5841
283,씨앗,103660,5950,0,0,0,0.00,5950,0,0,0,0,500,0,6840,6840,5060,5060,N/A,N/A,7910,1405,352,5917471,0,2958
284,에스알바이오텍,270210,5940,5960,50,5650,+0.85,5890,612,5900,4,5940,500,5900,6770,6990,5010,5170,N/A,N/A,11700,5000,48,806808,0,403
285,에이스캠퍼,322190,1465,1465,70,1405,-4.56,1535,104,1520,0,1520,100,1340,1765,1725,1305,1275,N/A,N/A,2570,930,131,8925197,0,892
286,엘리비젼,276240,624,606,16,546,-2.50,640,6870,544,4,630,500,544,736,709,544,525,N/A,N/A,824,366,42,6674400,0,3337
287,유투바이오,221800,14950,14950,350,13750,-2.29,15300,48,14150,1,15050,500,14000,17550,17700,13050,13100,N/A,N/A,15700,7240,284,1900510,0,950
288,이도바이오,336040,26800,26800,150,25700,+0.56,26650,285,26700,8,26900,500,26700,30600,29400,22700,21800,N/A,N/A,31000,17000,641,2390742,0,1195
289,진코스텍,250030,9000,9000,0,8950,0.00,9000,16,9000,0,9000,500,8600,10350,10350,7650,7650,N/A,N/A,19500,5210,233,2589337,0,1294
290,큐엠씨,136660,3565,3560,80,3535,-2.19,3645,2524,3685,9,3685,500,3500,4190,4225,3100,3125,N/A,N/A,6000,3245,337,9443800,0,4721
291,티티씨디펜스,309900,1950,0,0,0,0.00,1950,0,0,0,0,500,0,2240,2240,1660,1660,N/A,N/A,0,0,195,10000000,0,5000
